riverlevel,datetime
0.230000,17-Nov-2011 11:45
0.360000,17-Nov-2011 13:45
0.660000,17-Nov-2011 15:45
0.770000,17-Nov-2011 16:45
0.880000,17-Nov-2011 17:45
0.980000,17-Nov-2011 18:45
1.070000,17-Nov-2011 19:45
1.220000,17-Nov-2011 21:45
0.280000,17-Nov-2011 12:45
0.510000,17-Nov-2011 14:45
1.140000,17-Nov-2011 20:45
1.270000,17-Nov-2011 22:45
1.320000,17-Nov-2011 23:45
1.370000,18-Nov-2011 00:45
1.500000,18-Nov-2011 03:45
1.650000,18-Nov-2011 06:45
1.760000,18-Nov-2011 08:45
1.970000,18-Nov-2011 13:45
1.960000,18-Nov-2011 17:45
1.410000,18-Nov-2011 01:45
1.450000,18-Nov-2011 02:45
1.860000,18-Nov-2011 10:45
2.000000,18-Nov-2011 16:45
1.550000,18-Nov-2011 04:45
1.810000,18-Nov-2011 09:45
1.910000,18-Nov-2011 11:45
1.940000,18-Nov-2011 12:45
1.590000,18-Nov-2011 05:45
1.720000,18-Nov-2011 07:45
2.020000,18-Nov-2011 14:45
2.030000,18-Nov-2011 15:45
1.910000,18-Nov-2011 18:45
1.890000,18-Nov-2011 19:45
1.870000,18-Nov-2011 20:45
1.800000,18-Nov-2011 23:45
1.840000,18-Nov-2011 21:45
1.800000,18-Nov-2011 22:45
1.810000,19-Nov-2011 00:45
1.860000,19-Nov-2011 12:45
1.860000,19-Nov-2011 13:45
1.770000,19-Nov-2011 20:45
1.260000,20-Nov-2011 02:45
1.070000,20-Nov-2011 05:45
0.950000,20-Nov-2011 09:45
0.840000,20-Nov-2011 15:45
0.810000,20-Nov-2011 17:45
0.800000,20-Nov-2011 18:45
0.760000,20-Nov-2011 22:45
0.740000,21-Nov-2011 00:45
0.730000,21-Nov-2011 02:45
0.710000,21-Nov-2011 04:45
0.680000,21-Nov-2011 08:45
0.680000,21-Nov-2011 10:45
0.720000,21-Nov-2011 13:45
0.780000,21-Nov-2011 15:45
1.840000,19-Nov-2011 01:45
1.870000,19-Nov-2011 07:45
1.850000,19-Nov-2011 09:45
1.860000,19-Nov-2011 11:45
1.880000,19-Nov-2011 02:45
1.890000,19-Nov-2011 03:45
1.860000,19-Nov-2011 08:45
1.860000,19-Nov-2011 16:45
1.860000,19-Nov-2011 17:45
1.810000,19-Nov-2011 19:45
1.720000,19-Nov-2011 21:45
1.560000,19-Nov-2011 23:45
1.360000,20-Nov-2011 01:45
1.030000,20-Nov-2011 06:45
0.830000,20-Nov-2011 16:45
1.910000,19-Nov-2011 04:45
1.910000,19-Nov-2011 05:45
1.890000,19-Nov-2011 06:45
1.850000,19-Nov-2011 10:45
1.870000,19-Nov-2011 14:45
1.870000,19-Nov-2011 15:45
1.830000,19-Nov-2011 18:45
1.640000,19-Nov-2011 22:45
1.460000,20-Nov-2011 00:45
1.190000,20-Nov-2011 03:45
1.000000,20-Nov-2011 07:45
0.970000,20-Nov-2011 08:45
0.900000,20-Nov-2011 11:45
0.870000,20-Nov-2011 13:45
1.120000,20-Nov-2011 04:45
0.920000,20-Nov-2011 10:45
0.890000,20-Nov-2011 12:45
0.860000,20-Nov-2011 14:45
0.790000,20-Nov-2011 19:45
0.780000,20-Nov-2011 20:45
0.720000,21-Nov-2011 03:45
0.720000,21-Nov-2011 06:45
0.680000,21-Nov-2011 11:45
0.750000,21-Nov-2011 14:45
0.810000,21-Nov-2011 16:45
0.860000,21-Nov-2011 18:45
0.770000,20-Nov-2011 21:45
0.730000,21-Nov-2011 01:45
0.700000,21-Nov-2011 05:45
0.690000,21-Nov-2011 07:45
0.890000,21-Nov-2011 19:45
0.690000,21-Nov-2011 09:45
0.690000,21-Nov-2011 12:45
0.840000,21-Nov-2011 17:45
0.900000,21-Nov-2011 20:45
0.920000,21-Nov-2011 21:45
0.940000,22-Nov-2011 03:45
0.940000,22-Nov-2011 04:45
0.920000,22-Nov-2011 06:45
0.920000,21-Nov-2011 22:45
0.930000,21-Nov-2011 23:45
0.940000,22-Nov-2011 00:45
0.940000,22-Nov-2011 01:45
0.930000,22-Nov-2011 05:45
0.840000,22-Nov-2011 10:45
0.820000,22-Nov-2011 11:45
0.750000,22-Nov-2011 14:45
0.730000,22-Nov-2011 15:45
0.690000,22-Nov-2011 18:45
0.660000,22-Nov-2011 21:45
0.640000,22-Nov-2011 23:45
0.610000,23-Nov-2011 03:45
0.580000,23-Nov-2011 08:45
0.560000,23-Nov-2011 11:45
0.540000,23-Nov-2011 16:45
0.530000,23-Nov-2011 21:45
0.540000,24-Nov-2011 00:45
0.570000,24-Nov-2011 03:45
0.600000,24-Nov-2011 06:45
0.640000,24-Nov-2011 10:45
0.620000,24-Nov-2011 14:45
0.590000,24-Nov-2011 18:45
0.590000,24-Nov-2011 20:45
0.610000,24-Nov-2011 21:45
0.670000,25-Nov-2011 00:45
0.700000,25-Nov-2011 01:45
0.770000,25-Nov-2011 03:45
0.800000,25-Nov-2011 04:45
0.810000,25-Nov-2011 05:45
0.820000,25-Nov-2011 06:45
0.830000,25-Nov-2011 10:45
0.810000,25-Nov-2011 12:45
0.570000,26-Nov-2011 00:45
0.540000,26-Nov-2011 03:45
0.520000,26-Nov-2011 06:45
0.500000,26-Nov-2011 09:45
0.480000,26-Nov-2011 13:45
0.480000,26-Nov-2011 14:45
0.480000,26-Nov-2011 15:45
0.480000,26-Nov-2011 16:45
0.480000,26-Nov-2011 18:45
0.470000,26-Nov-2011 20:45
0.490000,27-Nov-2011 00:45
0.520000,27-Nov-2011 05:45
0.570000,27-Nov-2011 09:45
0.580000,27-Nov-2011 11:45
0.590000,27-Nov-2011 16:45
0.540000,27-Nov-2011 20:45
0.510000,27-Nov-2011 22:45
0.500000,28-Nov-2011 00:45
0.480000,28-Nov-2011 02:45
0.440000,28-Nov-2011 09:45
0.430000,28-Nov-2011 12:45
0.420000,28-Nov-2011 15:45
0.440000,28-Nov-2011 20:45
0.940000,22-Nov-2011 02:45
0.900000,22-Nov-2011 07:45
0.890000,22-Nov-2011 08:45
0.870000,22-Nov-2011 09:45
0.800000,22-Nov-2011 12:45
0.670000,22-Nov-2011 20:45
0.600000,23-Nov-2011 04:45
0.600000,23-Nov-2011 05:45
0.550000,23-Nov-2011 14:45
0.530000,23-Nov-2011 19:45
0.540000,24-Nov-2011 01:45
0.590000,24-Nov-2011 05:45
0.640000,24-Nov-2011 09:45
0.650000,24-Nov-2011 11:45
0.630000,24-Nov-2011 12:45
0.620000,24-Nov-2011 13:45
0.730000,25-Nov-2011 02:45
0.840000,25-Nov-2011 07:45
0.840000,25-Nov-2011 08:45
0.820000,25-Nov-2011 11:45
0.730000,25-Nov-2011 15:45
0.620000,25-Nov-2011 20:45
0.590000,25-Nov-2011 22:45
0.560000,26-Nov-2011 01:45
0.550000,26-Nov-2011 02:45
0.500000,26-Nov-2011 10:45
0.490000,26-Nov-2011 11:45
0.490000,26-Nov-2011 12:45
0.470000,26-Nov-2011 19:45
0.480000,26-Nov-2011 21:45
0.500000,27-Nov-2011 02:45
0.510000,27-Nov-2011 04:45
0.570000,27-Nov-2011 08:45
0.570000,27-Nov-2011 17:45
0.490000,28-Nov-2011 01:45
0.460000,28-Nov-2011 04:45
0.450000,28-Nov-2011 06:45
0.450000,28-Nov-2011 07:45
